           n              vDp              tDp          vgreedy          tgreedy                %
--------------------------------------------------------------------------------------------------
        5000         12508652         2.428574         12504929         0.000290            99.97
        7500         28195459         5.571323         28195459         0.000408           100.00
       10000         50197420         9.755830         50197023         0.000552           100.00
       12500         78106845        15.279125         78106845         0.000686           100.00
       15000        111707728        22.081370        111707728         0.000840           100.00
       17500        153253680        30.266003        153248579         0.000964           100.00
       20000        198907296        39.770916        198902773         0.001103           100.00
       22500        254807529        50.389554        254807529         0.001254           100.00
       25000        312909663        62.149968        312897463         0.001422           100.00
       27500        376637972        75.122252        376637972         0.001504           100.00
       30000        447912865        88.978414        447879419         0.001693            99.99
       32500        528770876       104.850231        528770876         0.001825           100.00
       35000        609938838       121.581891        609925282         0.001954           100.00
       37500        702415195       250.021294        702415195         0.002118           100.00
       40000        798735014       159.592302        798723054         0.002205           100.00
       42500        902113787       180.139452        902094251         0.002354           100.00
       45000       1005319025       235.377450       1005319025         0.002502           100.00
       47500       1125887996       225.669895       1125887996         0.002682           100.00
       50000       1254345486       249.550528       1254345486         0.002811           100.00
