[[RANDOM]]

        n        Bubble     Insertion         Merge          Heap         Quick      Counting
----------------------------------------------------------------------------------------------
     1000      0.000000      0.000000      0.000559      0.001481      0.000993      0.000000
     2000      0.000000      0.000000      0.001384      0.002771      0.002141      0.000000
     3000      0.000000      0.000000      0.001809      0.004347      0.003288      0.000000
     4000      0.000000      0.000000      0.002411      0.006032      0.004368      0.000000
     5000      0.000000      0.000000      0.003143      0.008259      0.005665      0.000000
     6000      0.000000      0.000000      0.003814      0.009998      0.007038      0.000000
     7000      0.000000      0.000000      0.004548      0.011493      0.008103      0.000000
     8000      0.000000      0.000000      0.005092      0.013496      0.009439      0.000000
     9000      0.000000      0.000000      0.005806      0.015325      0.010767      0.000000
    10000      0.000000      0.000000      0.006660      0.017360      0.011752      0.000000
    11000      0.000000      0.000000      0.007285      0.019310      0.013352      0.000000
    12000      0.000000      0.000000      0.007955      0.021510      0.014420      0.000000
    13000      0.000000      0.000000      0.008605      0.023741      0.015950      0.000000
    14000      0.000000      0.000000      0.009396      0.025580      0.017403      0.000000
    15000      0.000000      0.000000      0.009923      0.028218      0.018321      0.000000
    16000      0.000000      0.000000      0.010622      0.029557      0.020270      0.000000
    17000      0.000000      0.000000      0.011350      0.031563      0.021723      0.000000
    18000      0.000000      0.000000      0.012195      0.034162      0.022612      0.000000
    19000      0.000000      0.000000      0.012969      0.035914      0.024257      0.000000
    20000      0.000000      0.000000      0.014007      0.038390      0.025483      0.000000


[[SORTED]]

        n        Bubble     Insertion         Merge          Heap         Quick      Counting
----------------------------------------------------------------------------------------------
     1000      0.000000      0.000000      0.000530      0.001268      0.000966      0.000000
     2000      0.000000      0.000000      0.001155      0.002781      0.001852      0.000000
     3000      0.000000      0.000000      0.001723      0.004559      0.002739      0.000000
     4000      0.000000      0.000000      0.002383      0.006274      0.003898      0.000000
     5000      0.000000      0.000000      0.003009      0.008258      0.004796      0.000000
     6000      0.000000      0.000000      0.003678      0.010419      0.005924      0.000000
     7000      0.000000      0.000000      0.004394      0.011994      0.007130      0.000000
     8000      0.000000      0.000000      0.005058      0.013908      0.008448      0.000000
     9000      0.000000      0.000000      0.005632      0.016158      0.009181      0.000000
    10000      0.000000      0.000000      0.006479      0.019398      0.010508      0.000000
    11000      0.000000      0.000000      0.007271      0.020369      0.012680      0.000000
    12000      0.000000      0.000000      0.007814      0.022233      0.012889      0.000000
    13000      0.000000      0.000000      0.008662      0.025355      0.013651      0.000000
    14000      0.000000      0.000000      0.009364      0.027050      0.015114      0.000000
    15000      0.000000      0.000000      0.009889      0.028846      0.016304      0.000000
    16000      0.000000      0.000000      0.010454      0.031175      0.017729      0.000000
    17000      0.000000      0.000000      0.011581      0.033093      0.018498      0.000000
    18000      0.000000      0.000000      0.011903      0.035685      0.019050      0.000000
    19000      0.000000      0.000000      0.012759      0.036657      0.019768      0.000000
    20000      0.000000      0.000000      0.013386      0.039485      0.021193      0.000000


[[REVERSED]]

        n        Bubble     Insertion         Merge          Heap         Quick      Counting
----------------------------------------------------------------------------------------------
     1000      0.000000      0.000000      0.000559      0.001098      0.000936      0.000000
     2000      0.000000      0.000000      0.001183      0.002520      0.001914      0.000000
     3000      0.000000      0.000000      0.001967      0.004071      0.002895      0.000000
     4000      0.000000      0.000000      0.002444      0.005709      0.003732      0.000000
     5000      0.000000      0.000000      0.003183      0.007438      0.004909      0.000000
