[[NEARLY SORTED]]

        n        Bubble     Insertion         Merge          Heap         Quick      Counting
----------------------------------------------------------------------------------------------
      500      0.003048      0.000458      0.000329      0.000509      0.000312      0.000060
     1000      0.014748      0.002257      0.000696      0.001158      0.000654      0.000127
     1500      0.035264      0.004774      0.001126      0.001881      0.001047      0.000197
     2000      0.065838      0.009160      0.001537      0.002623      0.001515      0.000266
     2500      0.104077      0.014352      0.002002      0.003427      0.001943      0.000328
     3000      0.153471      0.018768      0.002456      0.004247      0.002474      0.000412
     3500      0.209450      0.028355      0.002876      0.005091      0.002771      0.000521
     4000      0.275903      0.036432      0.003305      0.005907      0.003332      0.000522
     4500      0.350454      0.044766      0.003849      0.006724      0.003768      0.000647
     5000      0.435646      0.057807      0.004322      0.007597      0.004156      0.000684
     5500      0.530518      0.069946      0.004837      0.008491      0.004646      0.000748
     6000      0.633382      0.080706      0.005234      0.009363      0.005269      0.000808
     6500      0.745830      0.098787      0.005741      0.010301      0.005553      0.000938
     7000      0.866663      0.110472      0.006220      0.011150      0.006051      0.000970
     7500      0.997466      0.129671      0.006683      0.012002      0.006470      0.001000
     8000      1.137879      0.149985      0.007110      0.012912      0.007067      0.001082


[[RANDOM]]

        n        Bubble     Insertion         Merge          Heap         Quick      Counting
----------------------------------------------------------------------------------------------
      500      0.005482      0.003458      0.000371      0.000483      0.000319      0.000064
     1000      0.025008      0.016328      0.000826      0.001117      0.000729      0.000130
     1500      0.058875      0.038685      0.001317      0.001810      0.001205      0.000205
     2000      0.107044      0.069754      0.001795      0.002534      0.001668      0.000277
     2500      0.169298      0.110965      0.002318      0.003278      0.002089      0.000328
     3000      0.246842      0.160930      0.002838      0.004050      0.002494      0.000410
     3500      0.338330      0.219428      0.003353      0.004853      0.003005      0.000463
     4000      0.446282      0.287709      0.003854      0.005636      0.003517      0.000534
     4500      0.572654      0.364189      0.004415      0.006454      0.003930      0.000596
     5000      0.703452      0.450405      0.004975      0.007287      0.004448      0.000667
     5500      0.855026      0.545705      0.005511      0.008133      0.004913      0.000729
     6000      1.017971      0.650326      0.006059      0.009027      0.005512      0.000794
     6500      1.197679      0.766043      0.006603      0.009855      0.005891      0.000865
     7000      1.394516      0.893444      0.007159      0.010716      0.006467      0.000929
     7500      1.599179      1.018630      0.007739      0.011545      0.006984      0.001022
     8000      1.827218      1.159803      0.008252      0.012430      0.007469      0.001060


[[SORTED]]

        n        Bubble     Insertion         Merge          Heap         Quick      Counting
----------------------------------------------------------------------------------------------
      500      0.002749      0.000050      0.000254      0.000504      0.000299      0.000059
     1000      0.013308      0.000104      0.000547      0.001149      0.000710      0.000120
     1500      0.032150      0.000172      0.000882      0.001876      0.001103      0.000182
     2000      0.059429      0.000217      0.001175      0.002600      0.001505      0.000258
     2500      0.095068      0.000316      0.001544      0.003400      0.001893      0.000360
     3000      0.138980      0.000354      0.001870      0.004481      0.002361      0.000387
     3500      0.191289      0.000415      0.002199      0.005012      0.002911      0.000449
     4000      0.252286      0.000447      0.002527      0.005841      0.003189      0.000544
     4500      0.321673      0.000545      0.002904      0.006727      0.003806      0.000587
     5000      0.398834      0.000603      0.003257      0.007584      0.004424      0.000656
     5500      0.485585      0.000632      0.003615      0.008467      0.004555      0.000706
     6000      0.579061      0.000729      0.003985      0.009394      0.005240      0.000798
     6500      0.681739      0.000747      0.004330      0.010233      0.005532      0.000866
     7000      0.793920      0.000851      0.004630      0.011192      0.005928      0.000905
     7500      0.913917      0.000855      0.004955      0.011997      0.006387      0.001031
     8000      1.040169      0.001032      0.005312      0.013030      0.007078      0.001073


[[REVERSED]]

        n        Bubble     Insertion         Merge          Heap         Quick      Counting
----------------------------------------------------------------------------------------------
      500      0.006327      0.006321      0.000329      0.000429      0.000300      0.000064
     1000      0.029879      0.029654      0.000708      0.000991      0.000708      0.000121
     1500      0.071819      0.071587      0.001134      0.001631      0.001079      0.000220
     2000      0.131725      0.131299      0.001664      0.002297      0.001654      0.000300
     2500      0.209874      0.209155      0.001995      0.002978      0.001936      0.000326
     3000      0.306798      0.305405      0.002438      0.003670      0.002241      0.000408
     3500      0.420745      0.419102      0.002873      0.004414      0.002753      0.000452
     4000      0.554504      0.552571      0.003423      0.005160      0.003273      0.000539
     4500      0.704843      0.703071      0.003840      0.005925      0.003576      0.000589
     5000      0.875405      0.872358      0.004345      0.006783      0.003946      0.000680
     5500      1.169970      1.076360      0.004714      0.007459      0.004797      0.000769
     6000      1.294029      1.285688      0.005269      0.008224      0.004936      0.000814
     6500      1.526601      1.514241      0.005741      0.008997      0.005513      0.000954
     7000      1.774656      1.763241      0.006228      0.009795      0.005861      0.000994
     7500      2.039888      2.028510      0.006644      0.010609      0.006497      0.001093
     8000      2.323035      2.310187      0.007060      0.011421      0.006833      0.001044


